ID,Title,Year,IMDB_Scores
346,Man of the West,1958,7.1
359,Ride Lonesome,1959,7.1
381,Black Sunday,1960,7.1
396,One-Eyed Jacks,1961,7.1
438,Marnie,1964,7.1
534,The Bird with the Crystal Plumage,1970,7.1
550,Klute,1971,7.1
558,Wanda,1971,7.1
591,Sleeper,1973,7.1
595,Turkish Delight,1973,7.1
666,My Brilliant Career,1979,7.1
682,The Jerk,1979,7.1
690,The Big Red One,1980,7.1
695,Diva,1981,7.1
699,Chariots of Fire,1981,7.1
703,Three Brothers,1981,7.1
706,Fast Times at Ridgemont High,1982,7.1
711,Diner,1982,7.1
723,The Big Chill,1983,7.1
754,Out of Africa,1985,7.1
775,The Decline of the American Empire,1986,7.1
797,Moonstruck,1987,7.1
851,Pretty Woman,1990,7.1
873,Tongues Untied,1989,7.1
892,The Puppetmaster,1993,7.1
916,Four Weddings and a Funeral,1994,7.1
970,The Butcher Boy,1997,7.1
986,There's Something About Mary,1998,7.1
991,Three Kings,1999,7.1
994,Audition,1999,7.1
1005,The Gleaners and I,2000,7.1
17,Foolish Wives,1922,7
46,Storm Over Asia,1928,7
175,I Walked with a Zombie,1943,7
239,Rio Grande,1950,7
261,The Golden Coach,1953,7
312,Oklahoma!,1955,7
457,Alphaville,1965,7
600,The Towering Inferno,1974,7
639,Ascent,1977,7
641,The Last Wave,1977,7
665,Five Deadly Venoms,1978,7
671,Real Life,1979,7
804,Bull Durham,1988,7
842,Roger & Me,1989,7
853,Henry: Portrait of a Serial Killer,1990,7
865,Slacker,1991,7
867,Thelma & Louise,1991,7
868,My Own Private Idaho,1991,7
904,The Last Seduction,1994,7
922,The Kingdom,1994,7
955,Independence Day,1996,7
971,Kundun,1997,7
1017,Meet the Parents,2000,7
1033,Moulin Rouge,2001,7
21,Strike,1924,6.9
50,Blackmail,1929,6.9
77,The Bitter Tea of General Yen,1933,6.9
91,The Black Cat,1934,6.9
100,Peter Ibbetson,1935,6.9
107,Things to Come,1936,6.9
247,Pandora and the Flying Dutchman,1951,6.9
263,The Big Sky,1952,6.9
288,The Barefoot Contessa,1954,6.9
327,High Society,1956,6.9
439,The Masque of the Red Death,1964,6.9
469,Come Drink With Me,1966,6.9
530,The Spider's Stratagem,1970,6.9
536,Zabriskie Point,1970,6.9
547,The Hired Hand,1971,6.9
570,Last Tango in Paris,1972,6.9
597,The Harder They Come,1973,6.9
662,Up in Smoke,1978,6.9
748,Utu,1984,6.9
780,Top Gun,1986,6.9
784,The Horse Thief,1986,6.9
801,Fatal Attraction,1987,6.9
813,A Tale of the Wind,1988,6.9
846,Trust,1990,6.9
850,King of New York,1990,6.9
876,Naked Lunch,1991,6.9
926,Babe,1995,6.9
933,Clueless,1995,6.9
947,Gabbeh,1996,6.9
948,Three Lives and Only One Death,1996,6.9
981,Tetsuo,1989,6.9
1003,Attack the Gas Station,1999,6.9
149,"Dance, Girl, Dance",1940,6.8
203,Great Expectations,1946,6.8
270,The Bigamist,1953,6.8
287,Silver Lode,1954,6.8
291,Carmen Jones,1954,6.8
437,Scorpio Rising,1964,6.8
440,Before the Revolution,1964,6.8
512,Fellini Satyricon,1969,6.8
553,Red Psalm,1972,6.8
651,Saturday Night Fever,1977,6.8
680,Mad Max,1979,6.8
769,She's Gotta Have It,1986,6.8
877,Romper Stomper,1992,6.8
984,The Idiots,1998,6.8
1018,Signs & Wonders,2000,6.8
1030,Kandahar,2001,6.8
134,Daybreak,1939,6.7
171,The Seventh Victim,1943,6.7
214,Secret Beyond the Door,1948,6.7
388,The Exiles,1961,6.7
456,The Man Who Had His Hair Cut Short,1965,6.7
537,Performance,1970,6.7
548,W.R.: Mysteries of the Organism,1971,6.7
644,Ceddo,1977,6.7
691,Loulou,1980,6.7
736,The Last Battle,1983,6.7
749,Prizzi's Honor,1985,6.7
759,The Quiet Earth,1985,6.7
828,The Accidental Tourist,1988,6.7
888,Candyman,1992,6.7
1002,Time Regained,1999,6.7
74,Me and My Gal,1932,6.6
196,The Postman Always Rings Twice,1946,6.6
218,The Paleface,1948,6.6
302,The Mad Masters,1955,6.6
344,Gigi,1958,6.6
411,The Manchurian Candidate,1962,6.6
459,"Faster, Pussycat! Kill! Kill!",1965,6.6
629,The Man Who Fell to Earth,1976,6.6
637,In the Realm of the Senses,1976,6.6
718,A Question of Silence,1982,6.6
808,Alice,1988,6.6
839,The Asthenic Syndrome,1989,6.6
47,A Throw of Dice,1929,6.5
167,Fires Were Started,1943,6.5
172,The Man in Grey,1943,6.5
224,Louisiana Story,1948,6.5
269,Wages of Fear,1953,6.5
300,Artists and Models,1955,6.5
385,The Pier,1962,6.5
425,The Cool World,1963,6.5
502,David Holzman's Diary,1968,6.5
771,Caravaggio,1986,6.5
934,Safe,1995,6.5
956,The Pillow Book,1996,6.5
961,Funny Games,1997,6.5
988,The Blair Witch Project,1999,6.5
8,Within Our Gates,1920,6.4
38,The Jazz Singer,1927,6.4
280,Beat the Devil,1953,6.4
376,The Housemaid,1960,6.4
475,Report,1967,6.4
655,The Hills Have Eyes,1977,6.4
854,Archangel,1990,6.4
884,The Actress,1992,6.4
1035,Fat Girl,2001,6.4
78,She Done Him Wrong,1933,6.3
140,Babes in Arms,1939,6.3
648,Sleeping Dogs,1977,6.3
649,Last Chants for a Slow Dance,1977,6.3
862,The Rapture,1991,6.3
978,Ring,1998,6.3
3,The Birth of a Nation,1915,6.2
26,The Eagle,1925,6.2
93,Judge Priest,1934,6.2
311,The Ladykillers,1955,6.2
370,The Hole,1960,6.2
398,Dog Star Man,1962,6.2
618,The Wall,1975,6.2
627,India Song,1975,6.2
951,Secrets & Lies,1996,6.2
1008,Kippur,2000,6.2
407,The Eclipse,1962,6
555,Shaft,1971,6
575,Pink Flamingos,1972,6
484,Week End,1967,5.9
985,Sombre,1998,5.9
1015,The Captive,2000,5.9
66,The Vampire,1932,5.8
303,Hill 24 Doesn't Answer,1955,5.8
573,The Heartbreak Kid,1972,5.8
624,"Salo, or the 120 Days of Sodom",1975,5.8
925,Deseret,1995,5.8
64,The Million,1931,5.7
110,Sabotage,1936,5.7
426,The Nutty Professor,1963,5.7
428,Méditerranée,1963,5.7
499,Planet of the Apes,1968,5.7
504,High School,1968,5.7
802,The Dead,1987,5.7
707,"Too Early, Too Late",1982,5.6
252,The Day the Earth Stood Still,1951,5.5
389,The Night,1961,5.5
556,Sweet Sweetback's Baadasssss Song,1971,5.5
721,Money,1983,5.5
486,Wavelength,1967,5.4
465,Hold Me While I'm Naked,1966,5.3
790,Withnail and I,1987,5.3
392,The Ladies Man,1961,5.2
577,Superfly,1972,5.2
403,Heaven and Earth Magic,1962,5.1
554,Get Carter,1971,5.1
202,A Matter of Life and Death,1946,5
430,The Haunting,1963,5
417,Flaming Creatures,1963,4.6
545,Willy Wonka and the Chocolate Factory,1971,4.6
65,The Bitch,1931,3.7
447,The Demon,1964,3.6
526,The Butcher,1970,3.6
485,The Godson,1967,3.3
424,Blonde Cobra,1963,3
